29,80781,42.486388,-76.870133
29,80782,N/A,N/A
29,80784,42.484169,-76.798981
29,64899,N/A,N/A
29,65003,43.875356,-72.9137
29,64905,43.82407,-72.90931
29,64903,43.91884,-73.02723
29,64907,43.91884,-73.02723
29,64909,43.89709,-73.0501
29,64901,N/A,N/A
29,64911,43.35064,-72.82085
29,64967,N/A,N/A
29,64915,43.25279,-72.89207
34,80781,42.486388,-76.870133
34,64899,N/A,N/A
34,65003,43.875356,-72.9137
34,65011,43.77918,-72.85504
34,64901,N/A,N/A
34,65035,43.35379,-72.92909
34,64965,Length: 4.0 miles round trip,Max elevation change: 217 feet
34,64963,Length: 6.6 miles round trip to Griffith Lake5.6 miles round trip to Baker Peak,Max elevation change: 1910 feet to Griffith Lake
34,64975,Length: 4.0 miles round trip,Max elevation change: 350 feet
34,64977,Length: 6.5 mile loop,43.401
34,64985,Length: 7.8 miles round trip,43.06166
33,80781,42.486388,-76.870133
33,80817,42.4926,-76.78851
33,64969,Length: 3.6 miles round trip,Max elevation change: 970 feet
31,64901,N/A,N/A
31,64911,43.35064,-72.82085
31,64915,43.25279,-72.89207
